Geo_Name,Geo_QName,Geo_GISJOIN,Geo_GISJOIN2,Geo_SUMLEV,Geo_shape_area,Geo_FIPS,Geo_STATE,Geo_COUNTY,Geo_TRACT6,SE_T001_001,SE_A002_001,SE_T013_001,SE_T013_002,SE_T013_003,SE_T013_004,SE_T013_005,SE_T013_006,SE_T013_007,SE_T013_008,SE_T013_009,SE_T013_010,SE_T013_011,SE_T082_001,SE_T082_002,SE_T082_003,SE_T100_001,SE_T100_002,SE_T100_003
"Census Tract 1011","Census Tract 1011, St. Louis City, Missouri","G2905100101100","2905100101100","50",0.46883615067599,"29510101100","29","510","101100",3270,0.46883615067599,3270,3229,3218,0,11,0,41,31,0,0,10,1221,1209,12,3270,3209,61
"Census Tract 1012","Census Tract 1012, St. Louis City, Missouri","G2905100101200","2905100101200","50",0.42932215483336,"29510101200","29","510","101200",3756,0.42932215483336,3756,3705,3687,0,17,1,51,49,0,0,2,1500,1473,27,3756,3692,64
"Census Tract 1013","Census Tract 1013, St. Louis City, Missouri","G2905100101300","2905100101300","50",0.75809667790135,"29510101300","29","510","101300",4966,0.75809667790135,4966,4940,4933,0,6,1,26,26,0,0,0,2190,2119,71,4966,4817,149
"Census Tract 1014","Census Tract 1014, St. Louis City, Missouri","G2905100101400","2905100101400","50",0.34012246879504,"29510101400","29","510","101400",3447,0.34012246879504,3447,3350,3155,177,15,3,97,83,0,0,14,1479,1415,64,3431,3196,235
"Census Tract 1015","Census Tract 1015, St. Louis City, Missouri","G2905100101500","2905100101500","50",0.69327848365373,"29510101500","29","510","101500",4116,0.69327848365373,4116,4016,3895,86,28,7,100,82,0,1,17,1928,1805,123,4085,3617,468
"Census Tract 1018","Census Tract 1018, St. Louis City, Missouri","G2905100101800","2905100101800","50",1.3836543559086,"29510101800","29","510","101800",4260,1.3836543559086,4260,3959,3889,51,13,6,301,267,1,3,30,1898,1674,224,4234,3340,894
"Census Tract 1018.99","Census Tract 1018.99, St. Louis City, Missouri",,,"50",,"29510101899","29","510","101899",50,,50,48,42,5,0,1,2,1,0,0,1,0,0,0,0,0,0
"Census Tract 1021","Census Tract 1021, St. Louis City, Missouri","G2905100102100","2905100102100","50",0.59545027875359,"29510102100","29","510","102100",3035,0.59545027875359,3035,3021,3014,0,5,2,14,14,0,0,0,1744,1709,35,3028,2918,110
"Census Tract 1022","Census Tract 1022, St. Louis City, Missouri","G2905100102200","2905100102200","50",1.01340107848217,"29510102200","29","510","102200",7127,1.01340107848217,7127,7052,7034,0,16,2,75,64,0,1,10,3102,3034,68,7127,6882,245
"Census Tract 1023","Census Tract 1023, St. Louis City, Missouri","G2905100102300","2905100102300","50",0.52396546421906,"29510102300","29","510","102300",2274,0.52396546421906,2274,2237,2229,0,5,3,37,26,0,0,11,1002,996,6,2266,2204,62
"Census Tract 1024","Census Tract 1024, St. Louis City, Missouri","G2905100102400","2905100102400","50",0.22873001481076,"29510102400","29","510","102400",2648,0.22873001481076,2648,2626,2610,0,14,2,22,16,0,0,6,1224,1174,50,2668,2501,167
