"","trtid10","pop16","nhblk16","blk16","pov16","pov_det16","hu16","ohu16","mhm16","hu16_4vac","vac16","pop70","black70","hu70","vac70","ohu70","pov_det70","pov70","pop80","nhblk80","hu80","vac80"
"1",29510101100,2514,133,133,282,2514,1186,901,106600,1186,119,4166.1876842392,2.00020322047931,1298.06760468334,8.00074514176231,1290.06685954332,4166.187684,185.0096868,3270.154022,0,1221.067401,12.00088062
"2",29510101200,3376,233,233,423,3360,1546,1141,133000,1546,68,4436.00000406679,1,1498,16,1482,4436.000004,107,3756.000003,0,1500,27
"3",29510101300,3972,539,539,178,3972,2168,1407,135300,2168,324,5835.99998029741,0,2210,29,2181,5835.99998,350,4965.999983,0,2190,71
"4",29510101400,2711,779,779,600,2711,1455,734,107800,1455,307,4138.0000441382,227,1519,50,1469,4138.000044,448,3447.000037,177,1479,64
"5",29510101500,3937,1732,1736,1342,3890,1812,371,64200,1812,359,4516.68401033991,4.00063665491325,1695.22285848856,113.006118518824,1582.21673997492,4488.684984,539.0442987,4116.617296,86.00021531,1928.231266,123.0098576
"6",29510101800,3102,1012,1012,876,3102,1596,435,86300,1596,394,5785.99998204688,110,2195,186,2009,5785.999982,646,4259.999987,51,1898,224
"7",29510102100,2774,355,355,286,2774,1740,599,118000,1740,206,3564.0000127583,4,1741,30,1711,3564.000013,249,3035.000011,0,1744,35
"8",29510102200,5966,54,54,284,5952,3083,2172,162600,3083,125,8274.00005150219,3,3113,43,3070,8272.000051,452,7127.000044,0,3102,68
"9",29510102300,2027,31,45,386,2015,911,677,121100,911,23,2720.99134323552,2.94585847854614,979.988952636719,10.8014812469482,969.187438964844,2720.991343,140.4192505,2232.960778,0,977.0430908,12.76538658
"10",29510102400,2579,163,163,701,2554,1201,585,110000,1201,69,3173.99998521991,3,1226,28,1198,3173.999985,273,2647.999988,0,1222,41
"11",29510102500,2092,93,93,279,2076,1029,603,118500,1029,17,2563.82104531713,2.05393835529685,1003.9434928894,13.1977739781141,990.745719909668,2613.821045,249.5710616,2288.885259,0,1007.889555,24.23373288
"12",29510103100,3097,196,222,340,3097,1917,898,186000,1917,258,4418.99998855373,3,1985,52,1933,4405.999989,267,3620.999991,18,1829,56
"13",29510103400,1876,62,62,133,1876,947,618,137700,947,55,2967.00003309944,3,1036,27,1009,2963.000033,247,2338.000026,3,988,37
"14",29510103600,1317,37,37,271,1317,689,452,120400,689,77,2144.99997090868,7,741,29,712,2080.999972,85,1706.999977,7,735,21
"15",29510103700,2572,154,154,222,2572,1408,806,134000,1408,148,3743.00012347855,1,1421,36,1385,3743.000123,257,3171.000105,0,1461,55
"16",29510103800,3837,283,283,147,3830,1880,1284,160000,1880,149,5088.03842474298,0.976518452167511,1882.9482421875,30.9329228401184,1852.0153503418,5089.180156,247.9744968,4338.345292,3.883056879,1844.452026,39.80133438
"17",29510104200,3281,120,120,411,3225,2026,819,132500,2026,270,5713.59776767347,29.9873924255371,2196.07666015625,56.9760437011719,2139.1005859375,5713.597768,453.8092041,4323.182356,30.9869709,2047.139282,89.96217346
"18",29510104500,1685,132,132,247,1684,1384,391,121600,1384,444,3496.99997392624,31,1303,26,1277,3567.999973,406,2816.999979,162,1204,96
"19",29510105198,3534,606,606,853,3524,1984,790,330400,1984,359,5578.42321092193,1797.11408107728,2338.98957899213,214.437054371461,2124.55252471566,5570.732564,808.0051539,4293.008526,1434.537309,2150.956824,242.1332806
"20",29510105200,3020,1488,1488,401,3015,1675,535,186700,1675,199,5698.02852779128,4412.1416015625,2322.892578125,553.634033203125,1769.25854492188,5655.701767,1177.530518,2871.000029,2518,1840,860
"21",29510105300,2528,2167,2167,709,2502,1536,414,170500,1536,377,6729.99990439155,6209,2391,336,2055,6722.999904,1537,4012.999943,3888,1758,367
"22",29510105400,2361,1840,1840,704,2351,1182,121,65400,1182,306,5357.99998253491,5150,1639,202,1437,5479.999982,1144,3563.999988,3491,1269,217
"23",29510105500,2806,2667,2667,735,2796,1538,527,160900,1538,458,7849.99995950457,7689,2198,117,2081,7727.99996,1628,6295.999968,6112,1976,229
"24",29510106100,1830,1796,1796,771,1830,1270,301,61200,1270,481,9939.00001870322,9782,2719,227,2492,9957.000019,3384,5854.000011,5790,2030,324
"25",29510106200,1436,1396,1396,913,1426,860,189,43800,860,339,7210.00004338413,6949,2052,157,1895,7210.000043,1734,4129.000025,4028,1622,272
"26",29510106300,1407,1356,1356,363,1407,1108,259,54600,1108,543,8325.00012744422,8128,2539,229,2310,8325.000127,1762,5346.000082,5185,2086,348
"27",29510106400,2032,1994,1994,668,2032,1549,330,49200,1549,649,6436.00001962096,6178,2173,130,2043,6436.00002,1170,4863.000015,4728,1984,189
"28",29510106500,2712,2548,2548,564,2290,1543,421,49500,1543,530,7336.99981486532,7040,2302,183,2119,7336.999815,1271,5019.999873,4886,1956,236
"29",29510106600,1770,1650,1650,730,1743,939,266,51400,939,267,7161.99991255873,6804,2074,89,1985,7161.999913,2162,4352.999947,4263,1709,282
