Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord,xyCheck,fullAddress,lon,lat
16-003727,2016-01,01/01/2016 00:01,Y,NA,NA,1,NA,21000,5,RAPE -- FORCIBLE,3900,WEST BELLE PL,58,NA,NA,3900,WEST BELLE,0,0,TRUE,"3900 WEST BELLE PL, St. Louis, MO",NA,NA
16-017531,2016-04,01/01/2016 00:01,Y,NA,NA,1,NA,21000,4,RAPE -- FORCIBLE,1400,MADISON ST,63,NA,NA,1400,MADISON,0,0,TRUE,"1400 MADISON ST, St. Louis, MO",NA,NA
16-033133,2016-07,01/01/2016 00:01,Y,NA,NA,1,NA,21000,3,RAPE -- FORCIBLE,2900,WYOMING ST,30,NA,NA,2900,WYOMING,0,0,TRUE,"2900 WYOMING ST, St. Louis, MO",NA,NA
17-009506,2017-02,01/01/2016 00:01,Y,NA,NA,1,NA,21000,5,RAPE -- FORCIBLE,1400,BAYARD AVE,53,NA,NA,1400,BAYARD,0,0,TRUE,"1400 BAYARD AVE, St. Louis, MO",NA,NA
17-017054,2017-06,01/01/2016 00:01,NA,NA,NA,1,NA,21000,3,RAPE -- FORCIBLE,3000,OHIO,30,NA,NA,3000,OHIO,0,0,TRUE,"3000 OHIO, St. Louis, MO",NA,NA
16-000134,2016-01,01/01/2016 03:00,Y,NA,NA,1,NA,21000,6,RAPE -- FORCIBLE,4300,E FARLIN AVE,68,NA,NA,4300,RED BUD,0,0,TRUE,"4300 E FARLIN AVE, St. Louis, MO",NA,NA
16-000059,2016-01,01/01/2016 05:45,Y,NA,NA,1,NA,21000,5,RAPE -- FORCIBLE,5400,RIDGE AVE,78,NA,NA,NA,NA,0,0,TRUE,"5400 RIDGE AVE, St. Louis, MO",NA,NA
17-025159,2017-06,01/01/2016 12:00,Y,NA,NA,1,NA,21000,3,RAPE -- FORCIBLE,4000,GILES AVE,16,NA,NA,2700,MERAMEC,0,0,TRUE,"4000 GILES AVE, St. Louis, MO",NA,NA
16-000377,2016-01,01/03/2016 11:10,Y,NA,NA,1,NA,23000,6,RAPE-ATTEMPT FORCIBLE RAPE/FORCIBLE INCEST,4600,EMERSON AVE,71,NA,NA,4600,EMERSON,0,0,TRUE,"4600 EMERSON AVE, St. Louis, MO",NA,NA
16-000458,2016-01,01/03/2016 18:00,Y,NA,NA,1,NA,21000,6,RAPE -- FORCIBLE,4100,N EUCLID AVE,69,NA,NA,4100,EUCLID,0,0,TRUE,"4100 N EUCLID AVE, St. Louis, MO",NA,NA
