Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord,xyCheck,fullAddress,lon,lat
16-000326,2016-09,01/02/2016 23:15,NA,NA,NA,1,NA,44016,6,ASSLT-AGGRV-HND/FST/FT-3RD-ADUL-DOMESTIC,4516,ADELAIDE,68,NA,NA,4516,ADELAIDE,0,0,TRUE,"4516 ADELAIDE, St. Louis, MO",-90.22188589999999,38.6736978
16-000542,2016-01,01/03/2016 11:30,Y,NA,NA,1,NA,71013,6,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,0,FAIR AVE / W. FLORISSANT AVE,68,NA,NA,2933,SULLIVAN,0,0,TRUE,"0 FAIR AVE / W. FLORISSANT AVE, St. Louis, MO",-90.2208102,38.675701
16-001509,2016-01,01/09/2016 22:00,Y,NA,NA,1,NA,21000,6,RAPE -- FORCIBLE,800,GUSTAV AVE,74,NA,NA,8800,BROADWAY,0,0,TRUE,"800 GUSTAV AVE, St. Louis, MO",-90.2284158,38.7236836
16-002340,2016-01,01/15/2016 01:36,Y,NA,NA,1,NA,21000,3,RAPE -- FORCIBLE,2100,GEYER AVE,23,NA,NA,2100,GEYER,0,0,TRUE,"2100 GEYER AVE, St. Louis, MO",-90.2169412,38.61182
16-034475,2016-07,02/01/2016 00:01,Y,NA,NA,1,NA,21000,6,RAPE -- FORCIBLE,5800,THEODORE AVE,72,NA,NA,5800,THEODORE,0,0,TRUE,"5800 THEODORE AVE, St. Louis, MO",-90.2545742,38.7010795
18-001272,2018-02,02/07/2016 00:01,Y,NA,NA,1,NA,21000,1,RAPE -- FORCIBLE,3300,ITASKA ST,16,NA,NA,3300,ITASKA,0,0,TRUE,"3300 ITASKA ST, St. Louis, MO",-90.243849,38.5717155
16-007794,2016-02,02/16/2016 23:30,Y,NA,NA,1,NA,44015,4,ASSLT-AGGRV-HND/FST/FT-2ND-ADUL-DOMESTIC,1821,MARKET,36,NA,NA,NA,NA,0,0,TRUE,"1821 MARKET, St. Louis, MO",-90.529573,38.777183
16-008114,2016-02,02/18/2016 20:00,Y,NA,NA,1,NA,21000,6,RAPE -- FORCIBLE,7600,HALL ST,79,NA,@WORKHOUSE NSR MEDICAL UNIT CELL 16,7600,HALL,0,0,TRUE,"7600 HALL ST, St. Louis, MO",-90.22204699999999,38.705642
16-009767,2016-03,02/27/2016 10:00,Y,NA,NA,1,NA,21000,5,RAPE -- FORCIBLE,1900,N KINGSHIGHWAY BLVD,52,NA,NA,1900,KINGSHIGHWAY,0,0,TRUE,"1900 N KINGSHIGHWAY BLVD, St. Louis, MO",-90.2596604,38.6654988
16-045059,2016-09,03/01/2016 00:01,Y,NA,NA,1,NA,21000,2,RAPE -- FORCIBLE,3600,HYDRAULIC AVE,15,NA,NA,3600,HYDRAULIC,0,0,TRUE,"3600 HYDRAULIC AVE, St. Louis, MO",-90.2502822,38.5914805
16-010512,2016-06,03/06/2016 03:19,NA,NA,NA,1,NA,64601,4,"LARCENY-FROM MTR VEH $500 - $24,999",200,4TH,35,@CROWNE PLAZA HOTEL,ON MEMORIAL DRIVE,200,4TH,0,0,TRUE,"200 4TH, St. Louis, MO",-90.18767140000001,38.6270586
